sep=,
Group,Side,TF,Indicator,N,Mean,Median,Q25,Q75,Min,Max
ALL,BUY,M30,DI_GAP,7073,11.806016,10.499782,5.039934,17.087773,0.004616,46.136577
ALL,BUY,M30,ATR,7073,3.719537,2.286750,1.440250,4.019250,0.387500,83.926750
ALL,BUY,M30,ATR_PCT_PRICE,7073,0.169915,0.138357,0.097952,0.206198,0.026588,2.032152
ALL,BUY,M30,EMA200_DIST_POINTS,7073,1618.233354,954.223233,425.307144,1829.519244,0.191241,59490.243776
ALL,BUY,M30,EMA200_DIST_ATR,7073,0.126770,-0.024475,-3.940988,4.061533,-32.898006,39.846463
ALL,BUY,H1,RSI,7064,47.155204,46.849335,38.836008,55.288774,8.332642,88.217262
ALL,BUY,H1,ADX,7064,29.692079,27.546750,21.400065,35.365899,9.046572,86.962608
ALL,BUY,H1,CCI,7064,-43.279738,-46.125619,-121.720253,44.619638,-456.711993,370.926804
ALL,BUY,H1,DI_PLUS,7064,15.915486,15.237158,11.151169,19.872616,1.480411,44.711289
ALL,BUY,H1,DI_MINUS,7064,20.039368,19.597587,14.454307,25.176528,0.797203,50.758862
ALL,BUY,H1,DI_GAP,7064,10.949126,9.482802,4.323234,16.004347,0.002920,44.582425
ALL,BUY,H1,ATR,7064,5.301971,3.301500,2.107813,5.618125,0.627250,102.780750
ALL,BUY,H1,ATR_PCT_PRICE,7064,0.241679,0.199774,0.141795,0.291619,0.049213,2.719031
ALL,BUY,H1,EMA200_DIST_POINTS,7064,2339.751619,1421.119326,631.187015,2663.582381,0.117430,73020.813117
ALL,BUY,H1,EMA200_DIST_ATR,7064,0.374578,0.460510,-3.796524,4.577171,-29.594933,28.089176
ALL,BUY,H4,RSI,7013,49.708717,49.734914,40.764797,58.687802,10.416686,92.544762
ALL,BUY,H4,ADX,7013,30.825317,28.368066,21.799115,37.316316,8.408214,83.878545
ALL,BUY,H4,CCI,7013,-6.662925,-3.133988,-87.118045,73.870232,-440.069959,337.026131
ALL,BUY,H4,DI_PLUS,7013,17.894723,17.212946,12.489517,22.599879,1.872096,56.664731
ALL,BUY,H4,DI_MINUS,7013,17.823554,17.266694,12.326863,22.658305,1.143058,50.113185
ALL,BUY,H4,DI_GAP,7013,10.835371,9.240521,4.356570,15.773879,0.003882,50.389069
ALL,BUY,H4,ATR,7013,10.359995,6.562500,4.321750,10.608000,1.117000,233.702750
ALL,BUY,H4,ATR_PCT_PRICE,7013,0.466101,0.397683,0.291913,0.549450,0.086940,4.565576
ALL,BUY,H4,EMA200_DIST_POINTS,7013,4584.057917,2700.037583,1266.441166,5238.505869,0.692111,83851.475473
ALL,BUY,H4,EMA200_DIST_ATR,7013,0.926027,0.912870,-3.113794,5.170513,-33.675090,22.255066
ALL,SELL,M1,RSI,2299,61.460498,61.438792,52.344416,70.883178,18.402347,94.402145
ALL,SELL,M1,ADX,2299,31.663702,29.452129,22.524702,38.631580,10.384996,79.438587
ALL,SELL,M1,CCI,2299,54.020842,39.562065,-66.299639,169.682256,-377.184118,466.666667
ALL,SELL,M1,DI_PLUS,2299,25.071815,22.414629,16.610441,33.217159,1.002371,63.449951
ALL,SELL,M1,DI_MINUS,2299,15.368927,14.651335,10.040392,19.647947,1.547528,45.452125
ALL,SELL,M1,DI_GAP,2299,14.209052,10.703623,4.317882,23.313293,0.004206,60.382693
ALL,SELL,M1,ATR,2299,0.670037,0.407000,0.239750,0.722625,0.025500,15.577500
ALL,SELL,M1,ATR_PCT_PRICE,2299,0.031386,0.023783,0.015501,0.037499,0.001999,0.454561
ALL,SELL,M1,EMA200_DIST_POINTS,2299,343.910510,202.323126,88.778247,392.667580,0.050371,7994.606958
ALL,SELL,M1,EMA200_DIST_ATR,2299,4.525668,4.606514,1.768423,7.309247,-27.443550,38.280843
ALL,SELL,M5,RSI,2299,61.950752,62.502723,54.943695,68.997810,28.467317,89.299286
ALL,SELL,M5,ADX,2299,33.253891,30.844959,23.674331,40.924858,10.546171,84.626677
ALL,SELL,M5,CCI,2299,117.447888,115.301352,80.282853,161.471971,-253.711926,466.666667
ALL,SELL,M5,DI_PLUS,2299,26.260004,25.990780,21.186142,31.254840,4.184314,52.668924
ALL,SELL,M5,DI_MINUS,2299,11.340412,10.542858,7.681487,14.220116,0.887928,39.365465
ALL,SELL,M5,DI_GAP,2299,15.747102,15.504232,8.800423,22.104261,0.000858,49.014700
ALL,SELL,M5,ATR,2299,1.492185,0.957500,0.588750,1.587625,0.089500,29.692000
ALL,SELL,M5,ATR_PCT_PRICE,2299,0.069089,0.055806,0.038172,0.084288,0.006941,1.106264
ALL,SELL,M5,EMA200_DIST_POINTS,2299,650.779276,361.586968,164.762478,737.465574,0.077456,12473.519245
ALL,SELL,M5,EMA200_DIST_ATR,2299,2.103310,2.565474,-0.981492,5.547691,-35.014538,29.288051
ALL,SELL,M15,RSI,2299,58.877350,58.910954,51.293569,66.792481,20.458539,91.970111
ALL,SELL,M15,ADX,2299,30.468950,27.906010,21.731629,36.756292,10.006772,81.746089
ALL,SELL,M15,CCI,2299,102.826979,114.485728,48.635257,161.565287,-187.254219,460.089673
ALL,SELL,M15,DI_PLUS,2299,24.730399,24.475441,19.459765,29.718362,3.007170,50.564303
ALL,SELL,M15,DI_MINUS,2299,12.688658,12.198352,8.828633,16.010423,1.436306,35.095005
ALL,SELL,M15,DI_GAP,2299,13.777892,12.830722,6.525868,19.625248,0.010687,46.502785
ALL,SELL,M15,ATR,2299,2.552148,1.633500,1.028500,2.704625,0.204500,46.659000
ALL,SELL,M15,ATR_PCT_PRICE,2299,0.117758,0.096323,0.068807,0.142193,0.016017,1.363695
ALL,SELL,M15,EMA200_DIST_POINTS,2299,1041.110900,591.134690,274.865076,1160.180751,0.141780,37114.917457
ALL,SELL,M15,EMA200_DIST_ATR,2299,1.235687,1.431217,-2.134443,4.762276,-30.514051,32.032510
ALL,SELL,M30,RSI,2299,56.753519,56.787519,48.782592,64.989848,15.823347,90.201408
ALL,SELL,M30,ADX,2299,29.457488,27.286672,21.308142,35.898391,10.723586,77.244896
ALL,SELL,M30,CCI,2299,79.670758,90.704585,2.732724,147.894958,-263.984359,466.666667
ALL,SELL,M30,DI_PLUS,2299,22.831961,22.584927,17.395140,28.007345,1.527606,48.531876
ALL,SELL,M30,DI_MINUS,2299,14.006115,13.352487,9.839949,17.720155,1.785601,38.856283
ALL,SELL,M30,DI_GAP,2299,12.268409,10.800601,5.165146,18.021188,0.013876,43.980848
ALL,SELL,M30,ATR,2299,3.718826,2.324250,1.504000,3.846875,0.367000,80.369250
ALL,SELL,M30,ATR_PCT_PRICE,2299,0.170014,0.138417,0.098898,0.204852,0.028744,1.735756
ALL,SELL,M30,EMA200_DIST_POINTS,2299,1124.874265,618.449983,267.474191,1259.074700,0.578001,44750.927222
ALL,SELL,M30,EMA200_DIST_ATR,2299,1.089243,1.124966,-1.291293,3.482396,-20.984006,22.493132
ALL,SELL,H1,RSI,2299,54.735123,55.064206,46.282764,63.309505,14.317837,85.704768
ALL,SELL,H1,ADX,2299,29.178899,27.152191,20.800756,35.750772,10.034772,73.767288
ALL,SELL,H1,CCI,2299,54.413018,62.996458,-29.641969,131.160723,-317.081384,340.230503
ALL,SELL,H1,DI_PLUS,2299,20.936519,20.469674,14.797289,26.428598,1.835689,48.366814
ALL,SELL,H1,DI_MINUS,2299,15.102855,14.359723,10.388828,19.135359,2.720608,45.493573
ALL,SELL,H1,DI_GAP,2299,11.379508,9.797361,4.646412,16.796465,0.015439,42.267830
ALL,SELL,H1,ATR,2299,5.367097,3.372500,2.172500,5.435375,0.693250,149.765000
ALL,SELL,H1,ATR_PCT_PRICE,2299,0.243486,0.200123,0.143771,0.291154,0.053215,3.234515
ALL,SELL,H1,EMA200_DIST_POINTS,2299,1165.943246,675.740958,297.246089,1353.635174,0.542915,39321.504565
ALL,SELL,H1,EMA200_DIST_ATR,2299,1.127884,1.077244,-0.751406,2.876819,-17.188036,14.778435
ALL,SELL,H4,RSI,2277,52.728217,52.535929,46.899869,58.690834,17.785616,85.496997
ALL,SELL,H4,ADX,2277,27.385650,26.125105,20.599940,32.842676,10.900567,74.847449
ALL,SELL,H4,CCI,2277,20.927924,28.452727,-66.389153,103.974292,-334.656554,366.579580
ALL,SELL,H4,DI_PLUS,2277,18.932675,18.182809,13.710153,23.656604,2.181577,48.385709
ALL,SELL,H4,DI_MINUS,2277,16.895254,16.174347,12.045727,21.073819,3.497262,45.023627
ALL,SELL,H4,DI_GAP,2277,10.221666,9.233023,4.110060,14.836963,0.006167,42.927261
ALL,SELL,H4,ATR,2277,10.348366,6.503750,4.358250,10.373500,0.958250,236.049000
ALL,SELL,H4,ATR_PCT_PRICE,2277,0.465102,0.392311,0.286809,0.542114,0.074491,5.034332
ALL,SELL,H4,EMA200_DIST_POINTS,2277,3383.839595,1953.577029,791.438437,4103.491272,0.147989,43298.482266
ALL,SELL,H4,EMA200_DIST_ATR,2277,1.237864,1.023983,-1.690190,4.163578,-17.769717,23.536023
SETUP_STOP,ALL,M1,RSI,365,36.607496,30.700394,24.378329,47.491173,4.070324,94.402145
SETUP_STOP,ALL,M1,ADX,365,36.150356,33.365578,25.382057,45.399663,11.044697,89.058620
